date,extent,area,data-type,region
2008-10,7.35,5.77,Goddard,N
2009-10,6.92,5.24,Goddard,N
2010-10,6.98,5.48,Goddard,N
2011-10,6.46,5.02,Goddard,N
2012-10,5.89,4.58,Goddard,N
2013-10,7.45,5.95,Goddard,N
2014-10,7.23,5.70,Goddard,N
2015-10,6.97,5.49,Goddard,N
2016-10,6.08,4.40,Goddard,N
2017-10,6.77,5.30,Goddard,N
2018-10,6.13,4.59,Goddard,N
2019-10,5.73,4.53,Goddard,N
2020-10,5.33,4.11,Goddard,N
2021-10,6.82,5.43,Goddard,N
1978-11,11.65,9.04,Goddard,N
1979-11,10.94,8.37,Goddard,N
1980-11,11.38,8.73,Goddard,N
1981-11,10.93,8.31,Goddard,N
1982-11,11.63,9.06,Goddard,N
1983-11,11.46,8.99,Goddard,N
1984-11,10.84,8.24,Goddard,N
1985-11,11.02,8.42,Goddard,N
1986-11,11.45,8.87,Goddard,N
1987-11,11.22,9.73,Goddard,N
1988-11,11.33,9.91,Goddard,N
1989-11,11.12,9.46,Goddard,N
1990-11,11.08,9.64,Goddard,N
1991-11,10.88,9.25,Goddard,N
1992-11,11.38,9.75,Goddard,N
1993-11,11.32,9.54,Goddard,N
1994-11,11.12,9.71,Goddard,N
1995-11,10.76,9.03,Goddard,N
1996-11,10.40,8.77,Goddard,N
1997-11,10.68,9.07,Goddard,N
1998-11,10.44,8.88,Goddard,N
1999-11,10.80,9.26,Goddard,N
2000-11,10.32,8.87,Goddard,N
2001-11,10.66,9.08,Goddard,N
2002-11,10.34,8.75,Goddard,N
2003-11,10.13,8.57,Goddard,N
2004-11,10.34,8.95,Goddard,N
2005-11,10.22,8.80,Goddard,N
2006-11,9.66,8.13,Goddard,N
2007-11,9.76,8.06,Goddard,N
2008-11,10.34,9.05,Goddard,N
2009-11,9.77,8.36,Goddard,N
2010-11,9.61,8.43,Goddard,N
2011-11,9.77,8.52,Goddard,N
2012-11,9.39,8.06,Goddard,N
2013-11,9.94,8.66,Goddard,N
2014-11,10.11,8.75,Goddard,N
2015-11,9.85,8.48,Goddard,N
2016-11,8.66,7.01,Goddard,N
2017-11,9.49,8.08,Goddard,N
